trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.97, 'e': 0.2782356912138437}",20,3,-24.307989397913325,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.97, 'e': 0.2698886204774284}",20,7,17.23865218578984,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.97, 'e': 0.26179196186310555}",25,0,-58.87239954937845,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.97, 'e': 0.25393820300721237}",20,2,26.626289458557956,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.97, 'e': 0.246320056916996}",25,0,37.44817518135489,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.97, 'e': 0.2389304552094861}",25,2,8.383667503735486,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.97, 'e': 0.23176254155320153}",20,15,-11.923400676895257,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.97, 'e': 0.22480966530660546}",20,0,-68.36965217076737,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.97, 'e': 0.2180653753474073}",20,0,-19.78979516356909,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.97, 'e': 0.21152341408698508}",20,14,9.459201036924757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.97, 'e': 0.2051777116643755}",30,16,-14.622952429702174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.97, 'e': 0.19902238031444425}",20,10,18.842265889075826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.97, 'e': 0.19305170890501092}",25,9,12.690944747378143,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.97, 'e': 0.18726015763786058}",20,15,10.202877960725232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.97, 'e': 0.18164235290872474}",30,0,-9.059548441434611,"{0: 26, 1: 2, 2: 0, 3: 2, 4: 0}",0
57,False,"{'a': 0.97, 'e': 0.176193082321463}",25,19,9.111366462249649,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.97, 'e': 0.1709072898518191}",20,0,-23.469310409096366,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.97, 'e': 0.16578007115626453}",20,9,-22.909996602678184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.97, 'e': 0.1608066690215766}",20,3,-27.831669218139975,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.97, 'e': 0.1559824689509293}",20,4,-19.758760564570984,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.97, 'e': 0.15130299488240143}",30,0,40.31004114985436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.97, 'e': 0.14676390503592937}",25,0,15.314968312518687,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
64,False,"{'a': 0.97, 'e': 0.1423609878848515}",20,0,22.227696446623828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.97, 'e': 0.13809015824830592}",20,0,5.530295324080824,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.97, 'e': 0.13394745350085674}",25,19,-11.731370921088331,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.97, 'e': 0.12992902989583105}",25,19,10.567820343156447,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.97, 'e': 0.12603115899895612}",25,18,5.5026910672569045,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.97, 'e': 0.12225022422898742}",20,2,25.004997011677816,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.97, 'e': 0.1185827175021178}",25,11,26.899869014462816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.97, 'e': 0.11502523597705426}",20,4,12.715629457981265,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.97, 'e': 0.11157447889774263}",20,7,-20.06316235459373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.97, 'e': 0.10822724453081034}",25,2,-7.377570593880919,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.97, 'e': 0.10498042719488604}",25,0,22.264422425303298,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.97, 'e': 0.10183101437903945}",25,14,17.824770519383357,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.97, 'e': 0.09877608394766826}",20,7,19.340074633873886,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.97, 'e': 0.09581280142923822}",25,17,14.262315110909842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.97, 'e': 0.09293841738636106}",30,19,19.59521295624232,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.97, 'e': 0.09015026486477022}",25,7,-21.1213188341396,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.97, 'e': 0.08744575691882712}",20,6,-5.68341215179394,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.97, 'e': 0.0848223842112623}",25,17,17.82581898961276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.97, 'e': 0.08227771268492444}",25,11,-29.498445774368776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.97, 'e': 0.0798093813043767}",25,16,16.955537511208654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.97, 'e': 0.07741509986524539}",20,9,20.52716397942217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.97, 'e': 0.07509264686928803}",35,25,17.568934794424013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.97, 'e': 0.07283986746320939}",25,1,14.255701088742143,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.97, 'e': 0.0706546714393131}",20,11,15.83093030442682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.97, 'e': 0.06853503129613371}",20,0,29.90783320227351,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.97, 'e': 0.0664789803572497}",25,11,1.555759437172024,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.97, 'e': 0.0644846109465322}",20,14,9.272744931929076,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.97, 'e': 0.06255007261813623}",30,0,-36.71027785320552,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
92,False,"{'a': 0.97, 'e': 0.060673570439592144}",25,16,13.829980081784539,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.97, 'e': 0.05885336332640438}",25,13,18.87586403939101,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.97, 'e': 0.057087762426612246}",20,0,-15.324375281780826,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
95,False,"{'a': 0.97, 'e': 0.05537512955381388}",30,0,33.92354689001141,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.97, 'e': 0.053713875667199464}",30,2,31.279650465329226,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.97, 'e': 0.05210245939718348}",25,19,8.63355280904026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.97, 'e': 0.05053938561526797}",20,4,26.572059875961223,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.97, 'e': 0.04902320404680993}",30,7,-42.60132524595258,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
100,False,"{'a': 0.97, 'e': 0.047552507925405635}",20,13,5.478054513603126,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.97, 'e': 0.04612593268764346}",25,13,24.51378515144037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.97, 'e': 0.044742154707014155}",20,6,24.550098288447327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.97, 'e': 0.04339989006580373}",20,13,13.240223787013868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.97, 'e': 0.04209789336382962}",20,0,22.147337730921635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.97, 'e': 0.04083495656291473}",30,5,-7.769258406036685,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.97, 'e': 0.039609907866027284}",25,18,12.160266326283343,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.97, 'e': 0.03842161063004647}",25,13,15.625346706758481,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.97, 'e': 0.03726896231114507}",20,9,20.34756100663887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.97, 'e': 0.036150893441810716}",30,17,23.604983401980373,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.97, 'e': 0.0350663666385564}",20,15,2.6143094586504962,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.97, 'e': 0.0340143756393997}",30,16,-3.1205451976548826,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.97, 'e': 0.03299394437021771}",35,24,-19.12874273181899,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.97, 'e': 0.03200412603911118}",30,10,12.614360034942285,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.97, 'e': 0.031044002257937842}",20,0,12.352676222915017,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.97, 'e': 0.030112682190199705}",30,22,16.0241855844172,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.97, 'e': 0.02920930172449371}",20,4,24.264020588963454,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.97, 'e': 0.0283330226727589}",20,14,13.05872316978807,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.97, 'e': 0.027483031992576134}",25,10,23.660960821748258,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.97, 'e': 0.026658541032798848}",20,12,7.421433280832116,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.97, 'e': 0.02585878480181488}",25,16,15.910884097475938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.97, 'e': 0.025083021257760435}",30,22,11.82172285553623,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.97, 'e': 0.024330530620027623}",25,4,29.549041023544625,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.97, 'e': 0.02360061470142679}",20,6,25.894818437925625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.97, 'e': 0.022892596260383986}",20,12,15.745515204209998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.97, 'e': 0.022205818372572468}",25,3,19.453636708353553,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
